"Airdrop Collector";"the main thing is to know the time";59;94;18;85;56;87;"wealth"
"Bitcoin Maximalist";"why don’t we go to the moon?";79;27;74;94;21;35;"impact"
"Bitcoin Miner";"he knows the kwh price on his electricity bill";90;30;87;25;80;64;"impact"
"Bounty Hunter";"anything for a coin";57;3;3;75;23;35;"impact"
"CEX Founder";"always in profit";93;39;85;15;50;63;"wealth"
"Community Manager";"always available on telegram";22;64;62;30;75;86;"community"
"Conference Organizer";"vip tickets are the best";0;50;62;27;88;60;"impact"
"Crypto Day Trader";"charts, energy drinks, and emotional rollercoasters";15;55;79;36;61;78;"community"
"Crypto Journalist";"white paperas a fiction";60;58;21;48;63;86;"influence"
"Crypto KOL";"let me tell you something";35;87;34;62;91;15;"devskills"
"Crypto Researcher";"fundamentally we will fly";88;41;83;4;16;62;"impact"
"Defi project Founder";"had too many funding offers";26;60;51;46;51;93;"wealth"
"DEX Founder";"kyc is not for me";45;87;20;65;91;21;"community"
"Doge coiner";"I used to gamble before. But that’s way more fun and risky";81;35;94;10;2;60;"innovation"
"Eth Validator";"could someone explain to me why $50 gas fee is a bad thing?";10;57;70;34;97;81;"innovation"
"Exchange Listing Manager";"always critical";86;25;35;93;16;59;"devskills"
"Exchange Owner";"Dreams about coinbase-style ipo";31;73;55;52;45;91;"devskills"
"Hard Wallet";"my difficulty is my armor";60;12;14;86;69;30;"influence"
"Hodler";"I’m in it for the technology";94;42;84;24;11;67;"community"
"ICO Millionaire";"2017 crypto cruises nostalgia";14;60;56;37;56;87;"innovation"
"Lambo Guy";"all crypto dreams come true";56;0;0;61;87;22;"influence"
"Market Maker";"finds paradise between bids and asks";22;64;55;45;55;86;"innovation"
"Market Maker Money Taker";"always between buy and sell";29;11;25;16;95;20;"impact"
"NFT Artist";"less pixels is more";76;14;43;85;38;38;"wealth"
"NFT Hunter";"did you see something creative and strange?";35;84;43;60;29;82;"community"
"NFT Marketplace Founder";"nft, art, and robots";57;100;10;86;86;29;"influence"
"No Coiner";"fomo, frustration and regrets";38;81;33;62;10;10;"devskills"
"OTC Trader";"the bigger the better";82;29;92;4;34;45;"impact"
"Prince Matic";"time is money";16;55;37;38;85;80;"devskills"
"Satoshi Nakamoto";"crypto genesis";100;100;94;79;80;91;"community"
"Signal Provider";"buy, sell, target reached";61;7;31;92;7;51;"devskills"
"Solidity Developer";"black belt in smart contracts";80;26;92;3;41;54;"innovation"
"The Dumper";"buy the dip while I’m selling all my tokens";64;24;36;89;27;35;"innovation"
"The Metaverse Mayor";"we live in the future but we look even further";90;45;81;33;83;78;"innovation"
"The Pumper";"the king of fomo";47;69;3;53;32;81;"influence"
"The Rug Puller";"ooops…";29;66;52;54;50;88;"devskills"
"The Whale";"he moves markets during lunch";94;74;73;68;70;79;"wealth"
"VC Guy";"fomo as a lifestyle";59;95;19;83;85;29;"influence"
"VC Queen";"the queen of networking";53;96;10;83;86;30;"influence"
"Yield Farmer";"harvest time!";36;89;90;13;18;13;"wealth"
